# Repose of the Silent One
Z0101: Beginning room
Z0102: Weapon room
Z0103: Tutorial room
Z0105: Prie dieu room
Z0106: Boss room
Z0107: Ravine entrance room
Z0108: Tower entrance room
Z0109: Cobijada room
Z0110: Penitence room
# Ravine of the High Stones
Z0201: Z0201
Z0202: Z0202
Z0203: Z0203
Z0204: Z0204
Z0205: Z0205
Z0206: Z0206
Z0207: Z0207
# Aqueduct of the Costales
Z0301: Z0301
Z0302: Z0302
Z0303: Z0303
Z0304: Z0304
Z0305: Z0305
Z0306: Z0306
Z0307: Z0307
Z0308: Z0308
Z0310: Z0310
Z0312: Z0312
Z0313: Z0313
# Sacred Entombments
Z0402: Z0402
Z0403: Z0403
Z0405: Z0405
Z0406: Z0406
Z0407: Z0407
Z0408: Z0408
Z0409: Z0409
Z0410: Z0410
Z0411: Z0411
Z0412: Z0412
Z0413: Z0413
Z0414: Z0414
Z0415: Z0415
Z0416: Z0416
Z0417: Z0417
Z0418: Z0418
Z0419: Z0419
Z0420: Z0420
Z0421: Z0421
Z0423: Z0423
Z0425: Z0425
Z0426: Z0426
Z0427: Z0427
Z0428: Z0428
Z0429: Z0429
# City of the Blessed Name
Z0501: Z0501
Z0502: Z0502
Z0503: Z0503
Z0504: Z0504
Z0505: Z0505
Z0506: Z0506
Z0510: Z0510
Z0511: Z0511
Z05BZ01: Z05BZ01
Z05BZ02: Z05BZ02
Z05BZ03: Z05BZ03
Z05BZ04: Z05BZ04
Z05BZ05: Z05BZ05
Z05BZ06: Z05BZ06
# Grilles and Ruins
Z0601: Z0601
Z0602: Z0602
Z0603: Z0603
Z0604: Z0604
Z0605: Z0605
Z0606: Z0606
Z0607: Z0607
Z0608: Z0608
Z0609: Z0609
Z0610: Z0610
Z0611: Z0611
Z0612: Z0612
Z0613: Z0613
Z0614: Z0614
Z0615: Z0615
Z0616: Z0616
Z0617: Z0617
# Palace of the Embroideries
Z0701: Z0701
Z0702: Z0702
Z0703: Z0703
Z0704: Z0704
Z0705: Z0705
Z0706: Z0706
Z0707: Z0707
Z0708: Z0708
Z0709: Z0709
Z0710: Z0710
Z0711: Z0711
Z0712: Z0712
Z0713: Z0713
Z0714: Z0714
Z0715: Z0715
Z0716: Z0716
Z0717: Z0717
Z0718: Z0718
Z0719: Z0719
Z0720: Z0720
Z0721: Z0721
Z0722: Z0722
Z0723: Z0723
Z0724: Z0724
Z0725: Z0725
Z0726: Z0726
Z0727: Z0727
Z0728: Z0728
Z0729: Z0729
Z0730: Z0730
Z0731: Z0731
Z0732: Z0732
# Choir of Thorns
Z0801: Z0801
Z0802: Z0802
Z0803: Z0803
Z0804: Z0804
Z0805: Z0805
Z0806: Z0806
Z0807: Z0807
Z0808: Z0808
Z0809: Z0809
Z0810: Z0810
Z0811: Z0811
Z0812: Z0812
Z0813: Z0813
Z0814: Z0814
Z0815: Z0815
Z0816: Z0816
Z0817: Z0817
Z0818: Z0818
Z0819: Z0819
Z0820: Z0820
Z0821: Z0821
Z0822: Z0822
Z0823: Z0823
Z0824: Z0824
Z0825: Z0825
Z0826: Z0826
Z0827: Z0827
Z0828: Z0828
Z0829: Z0829
Z0830: Z0830
Z0831: Z0831
Z0832: Z0832
Z0833: Z0833
Z0834: Z0834
Z0835: Z0835
Z0836: Z0836
Z0837: Z0837
Z0838: Z0838
Z0839: Z0839
Z0840: Z0840
Z0841: Z0841
Z0842: Z0842
Z0843: Z0843
Z0844: Z0844
Z0845: Z0845
Z0846: Z0846
# Crown of Towers
Z0901: Z0901
Z0902: Z0902
Z0903: Z0903
Z0904: Z0904
Z0905: Z0905
Z0906: Z0906
Z0907: Z0907
Z0908: Z0908
Z0909: Z0909
Z0910: Z0910
Z0911: Z0911
Z0912: Z0912
Z0913: Z0913
Z0914: Z0914
Z0915: Z0915
Z0916: Z0916
Z0917: Z0917
Z0918: Z0918
Z0919: Z0919
Z0920: Z0920
Z0921: Z0921
Z0923: Z0923
Z0924: Z0924
Z0925: Z0925
Z0926: Z0926
Z0927: Z0927
Z0928: Z0928
Z0929: Z0929
Z0930: Z0930
Z0931: Z0931
# Elevated Temples
Z1001: Z1001
Z1002: Z1002
Z1003: Z1003
Z1004: Z1004
Z1005: Z1005
Z1006: Z1006
Z1007: Z1007
Z1008: Z1008
Z1009: Z1009
Z1010: Z1010
Z1011: Z1011
Z1012: Z1012
Z1013: Z1013
Z1014: Z1014
Z1015: Z1015
Z1016: Z1016
Z1017: Z1017
Z1018: Z1018
Z1019: Z1019
Z1020: Z1020
Z1021: Z1021
Z1022: Z1022
Z1023: Z1023
Z1024: Z1024
Z1043: Z1043
Z1045: Z1045
Z1050: Z1050
Z1058: Z1058
Z1059: Z1059
Z1060: Z1060
Z1062: Z1062
Z1063: Z1063
Z1064: Z1064
Z1065: Z1065
Z1066: Z1066
Z1067: Z1067
# Basilica of Absent Faces
Z1101: Z1101
Z1102: Z1102
Z1103: Z1103
Z1104: Z1104
Z1105: Z1105
Z1106: Z1106
